"","L2.G_S34","L7.G_S57","L10.G_S59","L11.G_S65","L14.G_S63","L15.G_S68","SN1016.G_S26","L19.G_S67","L21.G_S58","L23.G_S61","L24.G_S62","L29.G_S36","L32.G_S35","L33.G_S66"
"TRINITY_DN4424_c0_g1_i3",0.718103167646099,0.369367417536561,0.378135455547681,2.91889837483426,0.388973990067123,0.675474537583099,0.542680395147897,0.368736556180708,0.467940996424815,1.63944570193125,0.49534305806231,0.689827302060972,0.670320462986403,2.49864566286286
"TRINITY_DN60650_c0_g1_i2",-0.986849755814197,-0.79772263443188,-0.998203186031652,-0.991999097575917,-0.995988842625696,-0.994129432825645,-0.665262388293602,-1.000093416358,-0.49034195051526,-0.587176114157744,-0.448195376175649,-0.9922364101862,-0.994804097438583,-1.00293939436905
"TRINITY_DN1912_c0_g1_i9",2.13167798079057,2.2381888746333,2.62172758138364,2.79751550815393,2.65739428213308,3.23047164776824,2.59952843323206,2.12566794584072,1.8680188511179,2.07528857507596,1.66350794051287,3.52087889440353,1.91375119320875,2.29548668478655
"TRINITY_DN3262_c0_g1_i3",-0.524633780004984,-0.545892918648937,-0.307074488543449,0.948160574709016,-0.538439077563846,-0.534996984259764,-0.475065576329853,-0.546131015896845,-0.507439674921021,-0.533948997351474,-0.49620437605961,-0.53151884483979,-0.0925832465108203,0.235418767804379
"TRINITY_DN7863_c0_g2_i2",-0.400856897284475,-0.419209079612273,-0.203505792922281,0.442772643276263,-0.0112529406306789,-0.409886585379336,-0.342475010383925,-0.419410820830856,-0.385528818991893,-0.408980648635917,-0.375421951155406,0.741795669105418,-0.410961529989638,-0.060631373250579
"TRINITY_DN3058_c0_g1_i1",1.31822676078642,0.734730512644888,1.22803898456234,1.41538975818379,0.942074001104946,1.39297210463063,1.14005178252264,1.0751392634408,1.23800789921945,0.75322879404967,0.814437007303308,1.52810329968185,1.5997472167035,1.66148984166022
"TRINITY_DN187_c1_g1_i2",2.21992269265303,2.52410916833348,1.31557963453684,1.18583689030613,1.61698216656467,1.50411898502841,2.16503225176521,1.44302723072797,1.27179562884511,1.76454331447359,1.04183181077002,0.965147499072934,1.16740887341429,1.27418321523417
"TRINITY_DN2385_c0_g2_i1",-0.502816619400934,-0.517731688469134,-0.315716418851026,-0.107743323980883,-0.134268624879744,-0.510179546475515,-0.445664084856257,-0.323993125158919,-0.490213043249513,-0.509442944786236,-0.480523554384771,0.49818768706511,-0.300848293168056,-0.336471063038164
"TRINITY_DN3666_c0_g2_i1",0.0104583562963307,-0.0124988103947746,-0.00897039779918141,0.830175923070729,1.07194048989628,0.552518127584923,0.38398458508846,0.187552456441998,0.0296667212578922,0.000291874975847706,0.0423560889352983,0.226913180012437,0.679867570151403,-0.0184544646994749
"TRINITY_DN2426_c0_g1_i7",-0.0111571236016288,0.286188557774513,-0.447502368473697,-0.438860032463479,-0.444418062000706,-0.441827915955745,-0.0769109399200628,0.284775678829878,-0.420382587839562,0.106982346494441,-0.411402652920716,-0.439190666309191,-0.442767747409789,-0.454098898214379
"TRINITY_DN6907_c0_g1_i2",0.355185621714695,-0.266012255124355,-0.6317780939238,-0.623866957797393,-0.628953769857386,-0.626582777652516,-0.268588364316253,-0.266866121518178,-0.60698317479909,-0.40507642794415,-0.59038685222036,-0.624169459851433,-0.410563245410634,-0.637822048678565
"TRINITY_DN8708_c0_g1_i3",-0.171626388006827,0.299231391002567,-0.0517851574633221,-0.399244808751378,-0.404460015373543,-0.402031333756861,-0.0496985561795164,0.071794213557826,-0.129464410207945,-0.0212757530997811,-0.373284036005399,-0.399555430978229,-0.402912922468786,-0.413510770601843
"TRINITY_DN6200_c0_g2_i3",2.97990514830261,2.31100599036675,2.55948822737755,3.54222320514197,2.9423871033791,2.8932206716341,2.56566903400639,2.53370390118247,2.81616253077251,2.6219974241899,2.89920368739975,3.71103790313464,3.22829922116093,3.37570497243774
"TRINITY_DN6873_c0_g3_i2",1.98103787056837,1.59346670809093,1.97996142235779,2.56780419243089,2.5044475316634,1.47680557413502,1.69937850480215,2.05378028984872,1.77575654457502,1.48060945357221,1.36974164053876,2.25346586462447,2.45527280791085,2.1020519769552
"TRINITY_DN2770_c0_g1_i4",0.635202803960673,0.109792882221005,-0.0739744160393929,0.146268278003495,-0.0703725903835213,0.136518907581717,-0.0122329133669901,0.520526385794863,0.410584969973172,0.139122293966661,0.454370034664774,-0.0642591421599033,0.133431434655033,0.0961689482888328
"TRINITY_DN760_c0_g1_i9",1.16754663301512,1.31513853789643,1.32804941979704,2.584500941381,1.52146690317482,2.15743104772077,1.59250021574254,1.97565155620852,2.00938301133837,1.36169207902949,1.51156551677344,3.13834446508771,2.04951284800725,1.72296873073931
"TRINITY_DN1315_c0_g1_i6",0.5936551580559,0.562708899023717,1.06686348549346,1.4791878269028,1.08736652459661,0.956739116199698,0.667979500688631,0.562369270451802,1.07255012308254,0.961045622618169,0.63681540269803,1.12192128507593,1.62390205984266,1.42782426526479
