cutoff,assembly_score
0.03014,0.0477
0.03046,0.0477
0.03047,0.0477
0.03055,0.0477
0.0306,0.04771
0.03064,0.04771
0.03075,0.04771
0.03083,0.04771
0.03098,0.04771
0.03105,0.04771
0.0311,0.04771
0.03112,0.04772
0.03116,0.04772
0.03118,0.04772
0.03122,0.04772
0.03137,0.04772
0.03137,0.04772
0.03138,0.04772
0.03138,0.04773
0.03154,0.04773
0.03189,0.04773
0.03199,0.04773
0.03202,0.04773
0.03212,0.04773
0.03229,0.04773
0.03236,0.04774
0.03265,0.04774
0.03274,0.04774
0.03292,0.04774
0.03293,0.04774
0.03298,0.04774
0.03311,0.04774
0.03313,0.04775
0.03329,0.04775
0.03339,0.04775
0.0334,0.04775
0.03367,0.04775
0.0337,0.04775
0.03372,0.04775
0.03377,0.04775
0.03378,0.04776
0.03381,0.04776
0.03405,0.04776
0.03415,0.04776
0.03416,0.04776
0.03422,0.04776
0.03425,0.04776
0.03435,0.04776
0.03443,0.04776
0.03454,0.04776
0.03464,0.04777
0.03469,0.04777
0.03477,0.04777
0.03482,0.04777
0.03493,0.04777
0.03499,0.04777
0.035,0.04777
0.0354,0.04778
0.03542,0.04778
0.0358,0.04778
0.03598,0.04778
0.03609,0.04778
0.03616,0.04778
0.03621,0.04778
0.03632,0.04779
0.03649,0.04779
0.03651,0.04779
0.03658,0.04779
0.03665,0.04779
0.03665,0.04779
0.03669,0.04779
0.03679,0.0478
0.03687,0.0478
0.03697,0.0478
0.03699,0.0478
0.03717,0.0478
0.03718,0.0478
0.03725,0.0478
0.03725,0.0478
0.03749,0.04781
0.03756,0.04781
0.03758,0.04781
0.0377,0.04781
0.03774,0.04781
0.03775,0.04781
0.03775,0.04781
0.03793,0.04782
0.03794,0.04782
0.03806,0.04782
0.03808,0.04782
0.03809,0.04782
0.03809,0.04782
0.03811,0.04782
0.03826,0.04782
0.03828,0.04783
0.03837,0.04783
0.03844,0.04783
0.03845,0.04783
0.03855,0.04783
0.03862,0.04783
0.03864,0.04783
0.0387,0.04783
0.03871,0.04784
0.03881,0.04784
0.03882,0.04784
0.03887,0.04784
0.03893,0.04784
0.03897,0.04784
0.03903,0.04784
0.0391,0.04784
0.03951,0.04784
0.03965,0.04784
0.03973,0.04784
0.03979,0.04785
0.03983,0.04785
0.03986,0.04785
0.03986,0.04785
0.03991,0.04785
0.04016,0.04785
0.04026,0.04785
0.04026,0.04785
0.04027,0.04786
0.04027,0.04786
0.04028,0.04786
0.04031,0.04786
0.04034,0.04786
0.04043,0.04786
0.04046,0.04786
0.04047,0.04787
0.04047,0.04786
0.04056,0.04787
0.04058,0.04787
0.0408,0.04787
0.04082,0.04787
0.0411,0.04787
0.04111,0.04787
0.04115,0.04787
0.0412,0.04788
0.04131,0.04788
0.04131,0.04788
0.04131,0.04788
0.04134,0.04788
0.04142,0.04788
0.04147,0.04788
0.04152,0.04788
0.04153,0.04788
0.04159,0.04789
0.04162,0.04789
0.04169,0.04789
0.04194,0.04789
0.04195,0.04789
0.04199,0.04789
0.04202,0.04789
0.04204,0.04789
0.04215,0.0479
0.04226,0.0479
0.04228,0.0479
0.04234,0.0479
0.04239,0.0479
0.04243,0.0479
0.04245,0.0479
0.0425,0.0479
0.04257,0.04791
0.04266,0.04791
0.0427,0.04791
0.04289,0.04791
0.04298,0.04791
0.04302,0.04791
0.04316,0.04791
0.04316,0.04791
0.04327,0.04792
0.04328,0.04792
0.04329,0.04792
0.04334,0.04792
0.04361,0.04791
0.04378,0.04791
0.04378,0.04791
0.04383,0.04791
0.04385,0.04791
0.04386,0.04791
0.04397,0.04791
0.04399,0.04791
0.04403,0.04792
0.04421,0.04792
0.04421,0.04792
0.04425,0.04792
0.04428,0.04792
